Población por distritos y secciones censales de Bizkaia, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
06;761;363;398;0,912;8;58,5;33,5;1,1;2,8
07;1421;697;724;0,963;21;59,2;19,8;0,6;8
08;1084;536;548;0,978;19,2;60,9;19,9;1,8;10,5
09;00;12027;5758;6269;0,918;14,3;60,3;25,4;1;6,4
01;803;363;440;0,825;11,3;60,8;27,9;0,9;5,2
02;938;437;501;0,872;12,4;58;29,6;1,3;7,1
03;960;462;498;0,928;15,6;63,3;21;1,1;6,4
04;1043;470;573;0,82;11,8;59,3;29;1,3;9,3
05;1049;518;531;0,976;16,2;63,1;20,7;2,2;11,6
06;665;329;336;0,979;13,8;62,6;23,6;1,8;12,8
07;1604;782;822;0,951;13,3;62,8;23,9;0,3;5,2
08;1081;527;554;0,951;21,4;64,6;14,1;0,6;4,8
09;1188;573;615;0,932;15,1;51,7;33,2;0,3;5,5
10;1157;552;605;0,912;14,5;58,3;27,1;1,2;4,7
11;688;332;356;0,933;12,9;66;21,1;1,2;2,8
12;851;413;438;0,943;11,4;55,3;33,3;0,7;3,2
014;Barrika;01;00;1528;788;740;1,065;18,9;60,5;20,6;1,4;1,8
01;1528;788;740;1,065;18,9;60,5;20,6;1,4;1,8
015;Basauri;05;00;40711;19633;21078;0,931;15,6;57,4;27,1;1,8;4,5
01;00;13862;6717;7145;0,94;15,7;56,9;27,4;2,1;4,6
01;1184;557;627;0,888;15,5;59,7;24,7;2,9;4,2
02;1010;477;533;0,895;15,2;59,1;25,6;1,2;5
03;854;384;470;0,817;14,9;53,9;31,3;1,6;4,1
04;970;446;524;0,851;18,7;56,4;24,9;2,3;5,4
05;1097;540;557;0,969;17,3;57,3;25,3;2,3;9,4
06;1283;632;651;0,971;15,8;59,4;24,8;2,7;5,4
07;883;429;454;0,945;14,7;55,8;29,4;3,1;7,4
08;1246;624;622;1,003;13,6;54,4;31,9;2,2;3,6
09;1442;693;749;0,925;12,4;58,8;28,8;1,5;2,6
10;1687;831;856;0,971;16,5;58,3;25,1;2,2;3,7
11;1213;589;624;0,944;12,9;48,6;38,4;1,7;1,8
12;993;515;478;1,077;22,4;59,3;18,3;1,2;4,7
02;00;17065;8135;8930;0,911;15;57,1;28;1,7;4,6
02;1472;695;777;0,894;14,8;57,7;27,5;2,9;5,5
03;966;451;515;0,876;15,4;54,2;30,3;1,1;3,7
04;1005;486;519;0,936;13,4;53,6;32,9;1,2;4,6
05;911;433;478;0,906;13,1;56,5;30,4;1,6;5,7
06;820;403;417;0,966;12,7;56,1;31,2;0,9;7,6
07;885;403;482;0,836;15,7;57,3;27;2,5;4,7
08;741;346;395;0,876;14,2;54,9;30,9;3;6,3
09;682;342;340;1,006;16,1;55,3;28,6;5,1;6,6
10;1454;711;743;0,957;14,2;59,3;26,5;0,5;2,2
11;717;317;400;0,793;13,4;60,9;25,7;1,4;4
12;991;479;512;0,936;12,8;55,3;31,9;2;6,2
13;1629;785;844;0,93;16;60,2;23,9;1;5
14;879;437;442;0,989;17,5;61,5;20,9;3,4;5,5
