Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
04;661;306;355;0,862;18;54,3;27,7;0,6;3,5
05;1032;524;508;1,031;20,8;60,9;18,3;0,8;11,9
06;1056;534;522;1,023;19,3;60,1;20,5;0,9;13,2
05;00;5030;2498;2532;0,987;20,9;56,2;22,9;0,5;10,5
01;1349;683;666;1,026;19,2;58,3;22,5;1,1;13
02;877;412;465;0,886;19,8;49,7;30,4;0,3;6,3
03;1595;775;820;0,945;22,3;55,2;22,6;0,3;11,9
04;1209;628;581;1,081;21,9;59,8;18,3;0,2;9
031;Elduain;01;00;250;126;124;1,016;26,8;54;19,2;0,4;2,8
01;250;126;124;1,016;26,8;54;19,2;0,4;2,8
032;Elgoibar;01;00;11585;5747;5838;0,984;20,3;57,3;22,3;1,3;7,5
01;1518;744;774;0,961;22,6;58,2;19,2;1;7,8
02;1203;586;617;0,95;18,4;57,9;23,7;2;12,3
03;1895;934;961;0,972;18;57,2;24,9;0,9;6,1
04;886;416;470;0,885;16,3;53,7;30;1,9;17,5
05;1294;643;651;0,988;20,7;53,2;26;1,2;7,7
06;1127;576;551;1,045;22,4;63,5;14;2,1;5,7
07;1294;644;650;0,991;20;55,3;24,7;1,1;2,9
08;1137;566;571;0,991;16,1;59,8;24,1;1,3;9,1
10;1231;638;593;1,076;27,9;57;15;1;2,5
033;Elgeta;01;00;1139;602;537;1,121;22;60,7;17,3;0,4;5,2
01;1139;602;537;1,121;22;60,7;17,3;0,4;5,2
034;Eskoriatza;01;00;4065;2045;2020;1,012;20,6;57,5;21,9;2,1;3,2
01;2018;1025;993;1,032;20,4;56;23,6;1,9;2,5
02;2047;1020;1027;0,993;20,9;58,9;20,2;2,3;3,9
035;Ezkio- Itsaso;01;00;644;350;294;1,19;20,2;57,5;22,4;2,5;2,8
01;644;350;294;1,19;20,2;57,5;22,4;2,5;2,8
036;Hondarribia;01;00;16937;8373;8564;0,978;19,5;57,8;22,7;1,8;3,8
01;1547;786;761;1,033;20,9;62,6;16,5;2,6;6,3
02;1299;631;668;0,945;12,5;61,9;25,6;1,1;1
03;1428;688;740;0,93;15,5;54,7;29,8;2;5,8
04;1078;534;544;0,982;20,8;55,2;24;1,1;7,8
05;1562;735;827;0,889;15,2;56;28,7;1;2,6
06;1621;792;829;0,955;24,7;59,1;16,2;2,5;2,5
07;1714;851;863;0,986;15,9;56,8;27,2;2,7;4,6
08;1626;800;826;0,969;19,9;55,2;25;2,1;2,2
09;1240;592;648;0,914;18,3;52,6;29,1;1,9;3,1
10;753;372;381;0,976;16,5;59,1;24,4;3,1;9
11;2041;1059;982;1,078;25,7;61,5;12,8;0,7;2,3
12;1028;533;495;1,077;26,1;56,2;17,7;1,3;1,9
037;Gaintza;01;00;119;73;46;1,587;18,5;57,1;24,4;2,5;2,5
01;119;73;46;1,587;18,5;57,1;24,4;2,5;2,5
038;Gabiria;01;00;506;288;218;1,321;21,7;57,9;20,4;0,8;1,8
01;506;288;218;1,321;21,7;57,9;20,4;0,8;1,8
039;Getaria;01;00;2846;1428;1418;1,007;19,9;60,6;19,5;3,4;5,7
01;1046;528;518;1,019;17,2;62,2;20,6;3,5;8,3
02;1800;900;900;1;21,4;59,6;18,9;3,4;4,2
040;Hernani;01;00;20013;9781;10232;0,956;19,6;60,3;20,1;1,8;5,4
01;921;447;474;0,943;18;62,5;19,4;1,6;10,6
02;1183;549;634;0,866;17,7;60,4;22;1,9;8,7
03;1061;510;551;0,926;15,3;61,4;23,4;2,3;8,6
04;1660;809;851;0,951;18,3;57,9;23,9;1,4;2,5
05;1615;787;828;0,95;24,8;63,4;11,8;0,7;3,7
06;864;401;463;0,866;17,8;51,7;30,4;0,5;7,2
07;1308;660;648;1,019;21,6;61,6;16,7;3,7;4,1
08;1115;565;550;1,027;15,8;62,6;21,6;3;8,6
09;589;308;281;1,096;20,7;55;24,3;0,8;2
10;1862;926;936;0,989;21,4;56,1;22,5;2,1;3,4
11;829;405;424;0,955;15,9;58,1;25,9;2,8;9,4
12;909;422;487;0,867;15;58,5;26,5;3;5,5
13;2307;1119;1188;0,942;23;63,3;13,7;1,9;6,5
14;833;399;434;0,919;16,3;58,7;25;1,6;5,4
15;882;434;448;0,969;20,5;63,7;15,8;1,7;2,2
16;2075;1040;1035;1,005;20,5;63;16,5;1;2,9
041;Hernialde;01;00;305;155;150;1,033;20,3;58,7;21;2;2,6
01;305;155;150;1,033;20,3;58,7;21;2;2,6
042;Ibarra;01;00;4258;2105;2153;0,978;20,2;56,3;23,5;2;6,3
01;1591;806;785;1,027;19;53,6;27,5;1,6;7,9
02;1598;788;810;0,973;23,2;55,4;21,4;3,3;6,1
03;1069;511;558;0,916;17,5;61,6;20,9;0,7;4,2
043;Idiazabal;01;00;2388;1206;1182;1,02;22,6;54,4;23;1,9;3,6
01;2388;1206;1182;1,02;22,6;54,4;23;1,9;3,6
044;Ikaztegieta;01;00;506;258;248;1,04;21,1;58,7;20,2;3,2;7,5
01;506;258;248;1,04;21,1;58,7;20,2;3,2;7,5
045;Irun;04;00;59899;29137;30762;0,947;18,9;59,5;21,6;3,1;7,1
01;00;7270;3424;3846;0,89;18,8;58,2;23,1;2,5;6,6
01;2246;1006;1240;0,811;17;55,7;27,3;2;8,7
02;1582;749;833;0,899;20,2;60,1;19,8;1,6;7,3
03;2016;957;1059;0,904;19;57,5;23,4;2,2;4,8
04;1426;712;714;0,997;19,7;60,9;19,4;4,7;4,8
02;00;16206;7999;8207;0,975;20,6;61,5;17,9;3,2;5,2
01;1616;787;829;0,949;15,8;63,7;20,5;3,6;7,8
02;1953;973;980;0,993;21,1;59,5;19,4;4,7;8
03;1033;539;494;1,091;23;58,9;18,1;3,4;7,3
04;2176;1088;1088;1;23,7;64,3;12;4,7;5,4
05;1600;778;822;0,946;19,6;63,1;17,3;2;2,9
06;1237;584;653;0,894;14,3;59,7;25,9;1,8;3,6
07;1169;564;605;0,932;13,3;58,6;28,1;2,3;2,7
08;1992;983;1009;0,974;20,5;61,8;17,7;4,4;7,3
09;900;444;456;0,974;17,7;60,9;21,4;2,1;4,6
10;2530;1259;1271;0,991;27,7;61,7;10,6;1,8;2,3
03;00;25654;12435;13219;0,941;17,6;58,7;23,7;3,6;9,1
01;1706;787;919;0,856;15,8;56,2;28;2,2;4,5
02;1246;588;658;0,894;16,9;58,9;24,2;2,9;19,6
03;1137;525;612;0,858;19,9;61,2;18,9;2,5;10,7
04;961;448;513;0,873;15,9;59,5;24,6;3,7;17,6
05;1506;722;784;0,921;17,9;59,3;22,8;5;15,1
06;1378;649;729;0,89;16,5;61,4;22,1;3,3;13,1
07;1336;640;696;0,92;15,7;56,1;28,1;5,7;7,9
08;1090;542;548;0,989;13,3;57,6;29,1;4,2;9,1
09;1263;611;652;0,937;17,1;54,6;28,3;3,5;6,6
10;1534;753;781;0,964;19,4;58,7;22;3,9;5,3
11;956;465;491;0,947;15;55,5;29,5;3,8;4,4
12;1510;736;774;0,951;15,7;58,5;25,8;5,3;11,7
13;1846;899;947;0,949;19,7;57,6;22,7;3,3;8,2
14;1151;611;540;1,131;17,4;57,1;25,5;3,2;8
15;2054;971;1083;0,897;15,5;57,4;27,1;2,2;6,6
16;958;479;479;1;21,6;60,6;17,7;7,2;20,8
17;1839;918;921;0,997;18,7;65,1;16,2;1,7;2
18;929;446;483;0,923;13,9;53,4;32,7;2,4;7,8
19;1254;645;609;1,059;27,1;64;8,9;4,5;2,9
04;00;10769;5279;5490;0,962;19,4;59,3;21,3;2,4;5,9
